episodio,semilla,recompensa,pasos,llego_a_la_bandera,limite_de_tiempo
1,100042,-108.0,108,True,False
2,100043,-86.0,86,True,False
3,100044,-107.0,107,True,False
4,100045,-101.0,101,True,False
5,100046,-86.0,86,True,False
6,100047,-108.0,108,True,False
7,100048,-107.0,107,True,False
8,100049,-89.0,89,True,False
9,100050,-90.0,90,True,False
10,100051,-108.0,108,True,False
11,100052,-107.0,107,True,False
12,100053,-108.0,108,True,False
13,100054,-107.0,107,True,False
14,100055,-108.0,108,True,False
15,100056,-107.0,107,True,False
16,100057,-87.0,87,True,False
17,100058,-89.0,89,True,False
18,100059,-86.0,86,True,False
19,100060,-89.0,89,True,False
20,100061,-108.0,108,True,False
21,100062,-98.0,98,True,False
22,100063,-86.0,86,True,False
23,100064,-90.0,90,True,False
24,100065,-93.0,93,True,False
25,100066,-107.0,107,True,False
26,100067,-191.0,191,True,False
27,100068,-88.0,88,True,False
28,100069,-87.0,87,True,False
29,100070,-101.0,101,True,False
30,100071,-108.0,108,True,False
31,100072,-108.0,108,True,False
32,100073,-108.0,108,True,False
33,100074,-108.0,108,True,False
34,100075,-107.0,107,True,False
35,100076,-86.0,86,True,False
36,100077,-89.0,89,True,False
37,100078,-117.0,117,True,False
38,100079,-107.0,107,True,False
39,100080,-108.0,108,True,False
40,100081,-108.0,108,True,False
41,100082,-108.0,108,True,False
42,100083,-108.0,108,True,False
43,100084,-99.0,99,True,False
44,100085,-107.0,107,True,False
45,100086,-103.0,103,True,False
46,100087,-95.0,95,True,False
47,100088,-108.0,108,True,False
48,100089,-107.0,107,True,False
49,100090,-107.0,107,True,False
50,100091,-86.0,86,True,False
51,100092,-107.0,107,True,False
52,100093,-107.0,107,True,False
53,100094,-94.0,94,True,False
54,100095,-86.0,86,True,False
55,100096,-88.0,88,True,False
56,100097,-108.0,108,True,False
57,100098,-86.0,86,True,False
58,100099,-108.0,108,True,False
59,100100,-106.0,106,True,False
60,100101,-87.0,87,True,False
61,100102,-108.0,108,True,False
62,100103,-108.0,108,True,False
63,100104,-108.0,108,True,False
64,100105,-86.0,86,True,False
65,100106,-88.0,88,True,False
66,100107,-97.0,97,True,False
67,100108,-108.0,108,True,False
68,100109,-108.0,108,True,False
69,100110,-108.0,108,True,False
70,100111,-108.0,108,True,False
71,100112,-108.0,108,True,False
72,100113,-107.0,107,True,False
73,100114,-107.0,107,True,False
74,100115,-108.0,108,True,False
75,100116,-108.0,108,True,False
76,100117,-88.0,88,True,False
77,100118,-107.0,107,True,False
78,100119,-108.0,108,True,False
79,100120,-108.0,108,True,False
80,100121,-106.0,106,True,False
81,100122,-107.0,107,True,False
82,100123,-88.0,88,True,False
83,100124,-108.0,108,True,False
84,100125,-96.0,96,True,False
85,100126,-108.0,108,True,False
86,100127,-109.0,109,True,False
87,100128,-98.0,98,True,False
88,100129,-107.0,107,True,False
89,100130,-95.0,95,True,False
90,100131,-107.0,107,True,False
91,100132,-106.0,106,True,False
92,100133,-89.0,89,True,False
93,100134,-106.0,106,True,False
94,100135,-107.0,107,True,False
95,100136,-104.0,104,True,False
96,100137,-108.0,108,True,False
97,100138,-87.0,87,True,False
98,100139,-118.0,118,True,False
99,100140,-107.0,107,True,False
100,100141,-100.0,100,True,False
