episodio,semilla,recompensa,pasos,llego_a_la_bandera,limite_de_tiempo
1,100042,-200.0,200,False,True
2,100043,-84.0,84,True,False
3,100044,-105.0,105,True,False
4,100045,-103.0,103,True,False
5,100046,-84.0,84,True,False
6,100047,-200.0,200,False,True
7,100048,-200.0,200,False,True
8,100049,-90.0,90,True,False
9,100050,-91.0,91,True,False
10,100051,-200.0,200,False,True
11,100052,-105.0,105,True,False
12,100053,-200.0,200,False,True
13,100054,-105.0,105,True,False
14,100055,-200.0,200,False,True
15,100056,-200.0,200,False,True
16,100057,-88.0,88,True,False
17,100058,-90.0,90,True,False
18,100059,-86.0,86,True,False
19,100060,-90.0,90,True,False
20,100061,-105.0,105,True,False
21,100062,-102.0,102,True,False
22,100063,-85.0,85,True,False
23,100064,-91.0,91,True,False
24,100065,-101.0,101,True,False
25,100066,-200.0,200,False,True
26,100067,-104.0,104,True,False
27,100068,-89.0,89,True,False
28,100069,-88.0,88,True,False
29,100070,-103.0,103,True,False
30,100071,-105.0,105,True,False
31,100072,-105.0,105,True,False
32,100073,-200.0,200,False,True
33,100074,-200.0,200,False,True
34,100075,-105.0,105,True,False
35,100076,-85.0,85,True,False
36,100077,-91.0,91,True,False
37,100078,-104.0,104,True,False
38,100079,-104.0,104,True,False
39,100080,-200.0,200,False,True
40,100081,-109.0,109,True,False
41,100082,-200.0,200,False,True
42,100083,-200.0,200,False,True
43,100084,-103.0,103,True,False
44,100085,-200.0,200,False,True
45,100086,-103.0,103,True,False
46,100087,-101.0,101,True,False
47,100088,-200.0,200,False,True
48,100089,-200.0,200,False,True
49,100090,-200.0,200,False,True
50,100091,-86.0,86,True,False
51,100092,-200.0,200,False,True
52,100093,-105.0,105,True,False
53,100094,-101.0,101,True,False
54,100095,-88.0,88,True,False
55,100096,-89.0,89,True,False
56,100097,-105.0,105,True,False
57,100098,-87.0,87,True,False
58,100099,-200.0,200,False,True
59,100100,-200.0,200,False,True
60,100101,-88.0,88,True,False
61,100102,-200.0,200,False,True
62,100103,-200.0,200,False,True
63,100104,-200.0,200,False,True
64,100105,-85.0,85,True,False
65,100106,-89.0,89,True,False
66,100107,-102.0,102,True,False
67,100108,-200.0,200,False,True
68,100109,-200.0,200,False,True
69,100110,-200.0,200,False,True
70,100111,-200.0,200,False,True
71,100112,-105.0,105,True,False
72,100113,-105.0,105,True,False
73,100114,-200.0,200,False,True
74,100115,-200.0,200,False,True
75,100116,-200.0,200,False,True
76,100117,-89.0,89,True,False
77,100118,-105.0,105,True,False
78,100119,-107.0,107,True,False
79,100120,-200.0,200,False,True
80,100121,-200.0,200,False,True
81,100122,-104.0,104,True,False
82,100123,-89.0,89,True,False
83,100124,-200.0,200,False,True
84,100125,-102.0,102,True,False
85,100126,-200.0,200,False,True
86,100127,-200.0,200,False,True
87,100128,-102.0,102,True,False
88,100129,-200.0,200,False,True
89,100130,-101.0,101,True,False
90,100131,-105.0,105,True,False
91,100132,-200.0,200,False,True
92,100133,-91.0,91,True,False
93,100134,-200.0,200,False,True
94,100135,-200.0,200,False,True
95,100136,-103.0,103,True,False
96,100137,-200.0,200,False,True
97,100138,-88.0,88,True,False
98,100139,-104.0,104,True,False
99,100140,-200.0,200,False,True
100,100141,-103.0,103,True,False
