episodio,semilla,recompensa,pasos,llego_a_la_bandera,limite_de_tiempo
1,100042,-200.0,200,False,True
2,100043,-200.0,200,False,True
3,100044,-200.0,200,False,True
4,100045,-200.0,200,False,True
5,100046,-200.0,200,False,True
6,100047,-200.0,200,False,True
7,100048,-200.0,200,False,True
8,100049,-200.0,200,False,True
9,100050,-200.0,200,False,True
10,100051,-200.0,200,False,True
11,100052,-200.0,200,False,True
12,100053,-200.0,200,False,True
13,100054,-200.0,200,False,True
14,100055,-200.0,200,False,True
15,100056,-200.0,200,False,True
16,100057,-200.0,200,False,True
17,100058,-200.0,200,False,True
18,100059,-200.0,200,False,True
19,100060,-200.0,200,False,True
20,100061,-200.0,200,False,True
21,100062,-200.0,200,False,True
22,100063,-200.0,200,False,True
23,100064,-200.0,200,False,True
24,100065,-200.0,200,False,True
25,100066,-200.0,200,False,True
26,100067,-200.0,200,False,True
27,100068,-200.0,200,False,True
28,100069,-200.0,200,False,True
29,100070,-200.0,200,False,True
30,100071,-200.0,200,False,True
31,100072,-200.0,200,False,True
32,100073,-200.0,200,False,True
33,100074,-200.0,200,False,True
34,100075,-200.0,200,False,True
35,100076,-200.0,200,False,True
36,100077,-200.0,200,False,True
37,100078,-200.0,200,False,True
38,100079,-200.0,200,False,True
39,100080,-200.0,200,False,True
40,100081,-200.0,200,False,True
41,100082,-200.0,200,False,True
42,100083,-200.0,200,False,True
43,100084,-200.0,200,False,True
44,100085,-200.0,200,False,True
45,100086,-200.0,200,False,True
46,100087,-200.0,200,False,True
47,100088,-200.0,200,False,True
48,100089,-200.0,200,False,True
49,100090,-200.0,200,False,True
50,100091,-200.0,200,False,True
51,100092,-200.0,200,False,True
52,100093,-200.0,200,False,True
53,100094,-200.0,200,False,True
54,100095,-200.0,200,False,True
55,100096,-200.0,200,False,True
56,100097,-200.0,200,False,True
57,100098,-200.0,200,False,True
58,100099,-200.0,200,False,True
59,100100,-200.0,200,False,True
60,100101,-200.0,200,False,True
61,100102,-200.0,200,False,True
62,100103,-200.0,200,False,True
63,100104,-200.0,200,False,True
64,100105,-200.0,200,False,True
65,100106,-200.0,200,False,True
66,100107,-200.0,200,False,True
67,100108,-200.0,200,False,True
68,100109,-200.0,200,False,True
69,100110,-200.0,200,False,True
70,100111,-200.0,200,False,True
71,100112,-200.0,200,False,True
72,100113,-200.0,200,False,True
73,100114,-200.0,200,False,True
74,100115,-200.0,200,False,True
75,100116,-200.0,200,False,True
76,100117,-200.0,200,False,True
77,100118,-200.0,200,False,True
78,100119,-200.0,200,False,True
79,100120,-200.0,200,False,True
80,100121,-200.0,200,False,True
81,100122,-200.0,200,False,True
82,100123,-200.0,200,False,True
83,100124,-200.0,200,False,True
84,100125,-200.0,200,False,True
85,100126,-200.0,200,False,True
86,100127,-200.0,200,False,True
87,100128,-200.0,200,False,True
88,100129,-200.0,200,False,True
89,100130,-200.0,200,False,True
90,100131,-200.0,200,False,True
91,100132,-200.0,200,False,True
92,100133,-200.0,200,False,True
93,100134,-200.0,200,False,True
94,100135,-200.0,200,False,True
95,100136,-200.0,200,False,True
96,100137,-200.0,200,False,True
97,100138,-200.0,200,False,True
98,100139,-200.0,200,False,True
99,100140,-200.0,200,False,True
100,100141,-200.0,200,False,True
